,timestamp,open,high,low,close,volume,symbol,exchange,timeframe,isEmaUptrend,isEmaDowntrend,isSmaUptrend,isSmaDowntrend,prediction,signal,barsHeld,isEarlySignalFlip,isLastSignalBuy,isLastSignalSell,isNewBuySignal,isNewSellSignal,startLongTrade,startShortTrade,endLongTrade,endShortTrade
503,1697317200000,26831.9,26869.6,26773.1,26806.5,4864.909,BTCUSDT,binance futures,1h,True,True,True,True,-16,-1,0,False,True,False,False,True,,26869.6,False,False
504,1697320800000,26806.5,26843.9,26806.4,26832.7,2022.256,BTCUSDT,binance futures,1h,True,True,True,True,-16,-1,1,False,True,False,False,False,,,False,False
505,1697324400000,26832.7,26855.9,26832.6,26836.3,1623.794,BTCUSDT,binance futures,1h,True,True,True,True,-16,-1,2,False,True,False,False,False,,,False,False
506,1697328000000,26836.4,26842.5,26801.0,26835.0,2461.777,BTCUSDT,binance futures,1h,True,True,True,True,-16,-1,3,False,True,False,False,False,,,False,False
507,1697331600000,26835.0,26896.3,26831.6,26876.5,3662.653,BTCUSDT,binance futures,1h,True,True,True,True,-16,-1,4,False,False,True,False,False,,,False,True
508,1697335200000,26876.6,26891.0,26856.5,26870.5,1980.944,BTCUSDT,binance futures,1h,True,True,True,True,-6,-1,5,False,False,True,False,False,,,False,False
509,1697338800000,26870.5,26894.2,26861.4,26871.4,2621.148,BTCUSDT,binance futures,1h,True,True,True,True,4,-1,6,False,False,True,False,False,,,False,False
510,1697342400000,26871.4,26879.7,26858.8,26873.1,1822.333,BTCUSDT,binance futures,1h,True,True,True,True,10,-1,7,False,False,True,False,False,,,False,False
511,1697346000000,26873.2,26875.0,26866.7,26868.3,736.925,BTCUSDT,binance futures,1h,True,True,True,True,6,-1,8,False,False,True,False,False,,,False,False
512,1697349600000,26868.4,26868.5,26860.0,26868.5,913.307,BTCUSDT,binance futures,1h,True,True,True,True,0,-1,9,False,False,True,False,False,,,False,False
513,1697353200000,26868.5,26872.7,26858.7,26872.7,980.083,BTCUSDT,binance futures,1h,True,True,True,True,-2,-1,10,False,False,True,False,False,,,False,False
514,1697356800000,26872.7,26899.9,26868.5,26895.0,2512.02,BTCUSDT,binance futures,1h,True,True,True,True,0,-1,11,False,False,True,False,False,,,False,False
515,1697360400000,26894.9,26909.6,26883.0,26890.4,2252.11,BTCUSDT,binance futures,1h,True,True,True,True,10,-1,12,False,False,True,False,False,,,False,False
516,1697364000000,26890.4,26890.4,26878.1,26880.9,1104.31,BTCUSDT,binance futures,1h,True,True,True,True,10,-1,13,False,False,True,False,False,,,False,False
517,1697367600000,26880.8,26880.9,26830.1,26840.4,3862.29,BTCUSDT,binance futures,1h,True,True,True,True,0,-1,14,False,False,True,False,False,,,False,False
518,1697371200000,26840.5,26840.5,26813.1,26824.2,3195.809,BTCUSDT,binance futures,1h,True,True,True,True,-14,-1,15,False,False,True,False,False,,,False,False
519,1697374800000,26824.3,26958.0,26790.4,26849.7,16930.298,BTCUSDT,binance futures,1h,True,True,True,True,-16,-1,16,False,False,True,False,False,,,False,False
520,1697378400000,26849.7,26909.2,26842.9,26861.8,3395.669,BTCUSDT,binance futures,1h,True,True,True,True,-16,-1,17,False,False,True,False,False,,,False,False
521,1697382000000,26861.8,26898.0,26838.7,26885.6,3157.155,BTCUSDT,binance futures,1h,True,True,True,True,-16,-1,18,False,False,True,False,False,,,False,False
522,1697385600000,26885.7,26918.5,26880.0,26916.0,3395.609,BTCUSDT,binance futures,1h,True,True,True,True,-4,-1,19,False,False,True,False,False,,,False,False
523,1697389200000,26916.0,27013.5,26905.5,26969.5,12938.397,BTCUSDT,binance futures,1h,True,True,True,True,12,1,0,False,False,True,True,False,26905.5,,False,False
524,1697392800000,26969.5,27050.0,26943.0,27046.1,9142.711,BTCUSDT,binance futures,1h,True,True,True,True,14,1,1,False,False,True,False,False,,,False,False
525,1697396400000,27046.1,27073.0,26970.4,27030.1,8042.933,BTCUSDT,binance futures,1h,True,True,True,True,12,1,2,False,False,True,False,False,,,False,False
526,1697400000000,27030.1,27456.1,27000.9,27193.9,31110.47,BTCUSDT,binance futures,1h,True,True,True,True,10,1,3,False,False,True,False,False,,,False,False
527,1697403600000,27193.9,27217.7,27074.7,27164.4,12210.156,BTCUSDT,binance futures,1h,True,True,True,True,10,1,4,False,True,False,False,False,,,True,False
528,1697407200000,27164.4,27287.6,27056.0,27085.7,19358.98,BTCUSDT,binance futures,1h,True,True,True,True,8,1,5,False,True,False,False,False,,,False,False
529,1697410800000,27085.6,27141.4,27018.8,27139.8,12212.375,BTCUSDT,binance futures,1h,True,True,True,True,6,1,6,False,True,False,False,False,,,False,False
530,1697414400000,27139.8,27179.9,27095.4,27129.0,7959.901,BTCUSDT,binance futures,1h,True,True,True,True,6,1,7,False,True,False,False,False,,,False,False
531,1697418000000,27129.0,27265.0,27127.7,27181.2,10245.907,BTCUSDT,binance futures,1h,True,True,True,True,8,1,8,False,True,False,False,False,,,False,False
532,1697421600000,27181.2,27274.8,27161.9,27176.1,6686.098,BTCUSDT,binance futures,1h,True,True,True,True,12,1,9,False,True,False,False,False,,,False,False
533,1697425200000,27176.0,27224.2,27142.8,27221.4,5441.588,BTCUSDT,binance futures,1h,True,True,True,True,12,1,10,False,True,False,False,False,,,False,False
534,1697428800000,27221.4,27263.7,27176.5,27238.4,5085.024,BTCUSDT,binance futures,1h,True,True,True,True,12,1,11,False,True,False,False,False,,,False,False
535,1697432400000,27238.5,28168.6,27234.8,27903.4,94544.322,BTCUSDT,binance futures,1h,True,True,True,True,12,1,12,False,True,False,False,False,,,False,False
536,1697436000000,27903.4,27968.0,27772.4,27800.0,24453.177,BTCUSDT,binance futures,1h,True,True,True,True,12,1,13,False,True,False,False,False,,,False,False
537,1697439600000,27799.9,27914.2,27794.2,27837.2,11336.339,BTCUSDT,binance futures,1h,True,True,True,True,10,1,14,False,True,False,False,False,,,False,False
538,1697443200000,27837.2,27890.2,27792.7,27792.8,11488.175,BTCUSDT,binance futures,1h,True,True,True,True,10,1,15,False,True,False,False,False,,,False,False
539,1697446800000,27792.7,27797.9,27627.4,27757.1,24932.866,BTCUSDT,binance futures,1h,True,True,True,True,8,1,16,False,True,False,False,False,,,False,False
540,1697450400000,27757.2,27775.5,27682.7,27752.6,8704.049,BTCUSDT,binance futures,1h,True,True,True,True,6,1,17,False,True,False,False,False,,,False,False
541,1697454000000,27752.6,27759.1,27660.3,27737.0,6544.031,BTCUSDT,binance futures,1h,True,True,True,True,6,1,18,False,True,False,False,False,,,False,False
542,1697457600000,27737.0,27880.4,27695.0,27873.3,15382.845,BTCUSDT,binance futures,1h,True,True,True,True,8,1,19,False,True,False,False,False,,,False,False
543,1697461200000,27873.3,30720.0,27698.5,27986.5,355275.447,BTCUSDT,binance futures,1h,True,True,True,True,14,1,20,False,True,False,False,False,,,False,False
544,1697464800000,27986.5,28382.0,27875.0,28181.4,70375.136,BTCUSDT,binance futures,1h,True,True,True,True,12,1,21,False,True,False,False,False,,,False,False
545,1697468400000,28181.3,28200.0,28021.4,28054.0,19397.289,BTCUSDT,binance futures,1h,True,True,True,True,12,1,22,False,True,False,False,False,,,False,False
546,1697472000000,28054.1,28171.9,28050.0,28078.2,12402.743,BTCUSDT,binance futures,1h,True,True,True,True,10,1,23,False,True,False,False,False,,,False,False
547,1697475600000,28078.3,28229.7,28072.8,28219.0,13833.784,BTCUSDT,binance futures,1h,True,True,True,True,8,1,24,False,True,False,False,False,,,False,False
548,1697479200000,28219.0,28590.0,28214.7,28536.9,35356.574,BTCUSDT,binance futures,1h,True,True,True,True,14,1,25,False,True,False,False,False,,,False,False
549,1697482800000,28536.8,28797.9,28376.1,28457.9,37810.3,BTCUSDT,binance futures,1h,True,True,True,True,14,1,26,False,True,False,False,False,,,False,False
550,1697486400000,28457.9,28633.3,28305.4,28390.8,17767.115,BTCUSDT,binance futures,1h,True,True,True,True,12,1,27,False,True,False,False,False,,,False,False
551,1697490000000,28390.8,28443.5,28220.7,28411.9,12447.163,BTCUSDT,binance futures,1h,True,True,True,True,10,1,28,False,True,False,False,False,,,False,False
552,1697493600000,28411.9,28548.0,28364.5,28492.5,9327.195,BTCUSDT,binance futures,1h,True,True,True,True,8,1,29,False,True,False,False,False,,,False,False
553,1697497200000,28492.5,28534.5,28422.6,28486.3,6206.714,BTCUSDT,binance futures,1h,True,True,True,True,8,1,30,False,True,False,False,False,,,False,False
554,1697500800000,28486.3,28534.4,28220.0,28263.9,18089.626,BTCUSDT,binance futures,1h,True,True,True,True,6,1,31,False,True,False,False,False,,,False,False
555,1697504400000,28263.8,28409.5,28254.0,28339.2,7096.634,BTCUSDT,binance futures,1h,True,True,True,True,4,1,32,False,True,False,False,False,,,False,False
556,1697508000000,28339.2,28379.5,28277.2,28358.3,5647.434,BTCUSDT,binance futures,1h,True,True,True,True,8,1,33,False,True,False,False,False,,,False,False
557,1697511600000,28358.3,28358.7,28239.2,28259.9,5291.568,BTCUSDT,binance futures,1h,True,True,True,True,0,1,34,False,True,False,False,False,,,True,False
558,1697515200000,28259.9,28260.0,28055.0,28175.0,18336.804,BTCUSDT,binance futures,1h,True,True,True,True,-8,1,35,False,True,False,False,False,,,False,False
559,1697518800000,28175.0,28221.2,28128.7,28212.0,6040.756,BTCUSDT,binance futures,1h,True,True,True,True,-8,1,36,False,True,False,False,False,,,False,False
560,1697522400000,28212.0,28227.0,28105.3,28214.7,8805.362,BTCUSDT,binance futures,1h,True,True,True,True,-14,1,37,False,True,False,False,False,,,False,False
561,1697526000000,28214.7,28452.8,28189.9,28408.2,20376.955,BTCUSDT,binance futures,1h,True,True,True,True,2,1,38,False,True,False,False,False,,,False,False
562,1697529600000,28408.1,28509.4,28339.0,28425.9,18449.817,BTCUSDT,binance futures,1h,True,True,True,True,12,1,39,False,True,False,False,False,,,False,False
563,1697533200000,28426.0,28462.3,28350.0,28434.4,6390.856,BTCUSDT,binance futures,1h,True,True,True,True,12,1,40,False,True,False,False,False,,,False,False
564,1697536800000,28434.4,28605.0,28392.4,28495.0,21107.602,BTCUSDT,binance futures,1h,True,True,True,True,12,1,41,False,True,False,False,False,,,False,False
565,1697540400000,28494.9,28517.0,28405.3,28408.8,7773.89,BTCUSDT,binance futures,1h,True,True,True,True,10,1,42,False,True,False,False,False,,,False,False
566,1697544000000,28408.8,28458.6,28145.6,28203.5,22565.157,BTCUSDT,binance futures,1h,True,True,True,True,4,1,43,False,True,False,False,False,,,False,False
567,1697547600000,28203.5,28380.0,28117.0,28276.5,33486.004,BTCUSDT,binance futures,1h,True,True,True,True,-8,-1,0,False,True,False,False,True,,28380.0,False,False
